N,D,Q,best_r,1,2,3,4,5,6,7,8,9,10,N^2,Q*3*2/N
36,6,346,7,12611670,12884870,11348420,11973730,10804240,13058230,10525100,11332640,13268820,15103880,630,57.66666667
100,5,999,2,7641471,5373048,5549304,5797965,6133347,5655320,5745197,5916392,5926067,6056682,4950,59.94
37,2,378,10,15498310,8072080,9541700,11251800,11852720,16455100,11583050,14279620,13140110,6250750,666,61.2972973
86,3,885,4,5708503,5129940,5499583,4964126,6087904,5526149,5225270,5552567,5447993,5796163,3655,61.74418605
65,2,670,4,15970155,11596900,11991142,11278264,13134130,11855797,13172447,14348593,15728663,11932302,2080,61.84615385
91,22,954,8,5045629,4110668,4160313,4272664,4176587,4233354,4538712,3955076,4455455,4377961,4095,62.9010989
39,7,410,6,13541587,16621394,13004292,16910996,13453358,12289109,15506638,15976790,18702228,17710000,741,63.07692308
81,6,933,3,15890262,10349755,9474792,10638368,11006038,12390362,9800317,12174941,10556117,11077617,3240,69.11111111
42,10,485,3,18935846,12591427,9123398,12517942,13876068,11148550,12242978,9536564,13077307,12732711,861,69.28571429
51,4,612,10,20472652,15065142,15673325,14650454,14446114,17798593,14202903,19726571,16412008,14135569,1275,72
86,18,1079,4,15653413,11712257,10632220,10306612,10575583,11826032,11605107,10935165,11162739,11349712,3655,75.27906977
99,22,1274,5,7155667,6549924,7011358,6880507,6456089,6707220,6921329,6907913,7008034,6924438,4851,77.21212121
89,13,1193,4,9909084,6591623,6168194,6016548,6899684,6254309,6785802,6751542,7398806,6742095,3916,80.42696629
71,5,960,5,9849880,10323882,10011247,10823673,8696423,10395185,9852605,9897329,10424361,9295292,2485,81.12676056
94,5,1423,6,4966121,4080596,4476551,4109762,4151726,3727965,4039465,4242765,4010294,5016251,4371,90.82978723
65,10,1001,7,5798312,6029577,6708528,6173118,6138751,5765825,4887756,6264629,5689449,6604585,2080,92.4
66,4,1028,2,11154484,7323165,8815547,7581598,9166364,9655032,9335499,8709759,9126995,8435686,2145,93.45454545
72,17,1182,2,9951983,6991802,7892490,8099739,8940937,8308082,8688021,7548079,9040584,9597834,2556,98.5
96,3,1620,7,6893184,7079516,6934961,7183755,6946580,6840713,6379620,7347759,6966421,7466842,4560,101.25
89,17,1536,4,8889890,7297684,7076363,6894949,8117914,7829584,8408252,8294161,7703299,7876866,3916,103.5505618
59,6,1183,6,7863537,6099160,6099791,6834014,7317309,5983051,7281487,7117171,6385308,7515879,1711,120.3050847
42,2,860,9,7221481,6847316,7657779,6863937,8468142,8641636,10019246,9053264,6167325,7875661,861,122.8571429
52,13,1069,4,9002975,7173185,7712018,6480927,7661729,7839812,7253870,8919843,7961124,8463487,1326,123.3461538
54,3,1120,6,10282222,8436339,7592625,9416469,10489373,7458593,8342262,8307291,11343824,9359153,1431,124.4444444
96,20,2071,5,5657864,4879781,4498726,4701191,4208496,4510082,4562528,4330277,4881155,4818777,4560,129.4375
80,9,1757,2,9577059,7697825,8006958,8192537,8295985,8892119,8820638,8109331,7966138,8958783,3160,131.775
66,2,1467,9,7749286,8538076,8385035,8616450,9133882,8721499,8699615,8078077,7735442,8805763,2145,133.3636364
74,3,1690,3,8927039,6755280,5990433,6896221,7059732,6423615,7423290,6821806,7204433,7456269,2701,137.027027
45,8,1101,2,13311511,10462781,11144366,11366347,12705186,15426669,11847789,12397104,12516601,12679190,990,146.8
99,23,2574,10,5711533,4533441,4414341,5030422,4633201,4598309,4528928,4942348,4487659,4332653,4851,156
90,18,2489,4,6849376,4992064,5716593,4884459,5536525,5389435,5925957,5795014,5531397,5132464,4005,165.9333333
43,8,1200,4,10960516,9128111,8796710,7728469,7845715,9797124,8980856,9402345,9910924,9363821,903,167.4418605
34,8,956,3,5904600,5217870,3398710,6135470,5086900,7376740,6320690,6706900,5187670,4584800,561,168.7058824
74,14,2101,3,7608046,6273121,5573649,6653847,6011666,6483591,6996562,6541490,7435864,6946794,2701,170.3513514
82,10,2358,3,8510736,7102857,6243046,7231921,7324309,6875901,6716920,6665050,7015281,6867416,3321,172.5365854
93,12,2707,3,5495745,4402857,4124491,4345289,4787741,4148464,4517440,4629184,4345785,4235780,4278,174.6451613
43,9,1344,6,10217701,8990218,8929159,8880721,9419204,8660788,9776011,10381564,10188010,9243687,903,187.5348837
39,6,1312,5,10591502,12692424,9381168,10839952,7070608,9839399,8416999,11504031,7267430,12116612,741,201.8461538
71,8,2486,7,8694308,6525267,7137361,6871607,6975461,6789258,6291780,6425259,7702551,7190489,2485,210.084507
36,9,1344,7,15820570,5828730,6733850,12203630,9612010,8765120,4308610,13819150,9340720,6850150,630,224
39,5,1483,1,5068531,5266367,7314226,6402592,7435905,6436542,6015761,6574881,6897469,6228852,741,228.1538462
49,8,2009,9,9977800,8155190,8440841,8551163,8438764,8351134,8700195,7414938,6526952,7528028,1176,246
52,9,2288,4,10206874,9652669,10570531,9323679,9801995,10098661,10115126,10315617,9921631,11611446,1326,264
38,7,2009,10,29815480,29162050,28029770,30233240,28828940,31106930,27734310,29568230,30928690,26764530,703,317.2105263
